mse,mae,Label
0.001735856,0.02729931,Aria
0.004018141,0.033234645,Aria
0.030164976,0.088977136,Aria
0.003842515,0.033656575,Aria
0.004008118,0.032721467,Aria
0.032095775,0.11951042,Aria
0.002503743,0.031557906,Aria
0.023369385,0.06569881,Aria
0.00465348,0.047361273,Aria
0.00625611,0.048771694,Aria
0.0061419867,0.048832703,Aria
0.002026677,0.028443832,Aria
0.005095937,0.038916063,Aria
0.0038036094,0.027066156,Aria
0.0058276695,0.048641987,Aria
0.0039751926,0.03576703,Aria
0.0009995835,0.020952793,Aria
0.0029235987,0.034531787,Aria
0.0039128247,0.03791441,Aria
0.0015291295,0.02229744,Aria
0.006998421,0.056842912,Aria
0.021364331,0.07261186,Aria
0.0023153168,0.02594143,Aria
0.0024774987,0.034212228,Aria
0.00357571,0.029683618,Aria
0.0076717846,0.046162132,Aria
0.0066400724,0.045774598,Aria
0.17534664,0.22216296,Aria
0.003961523,0.046276372,Aria
0.0030461766,0.038814902,Aria
0.0027909884,0.033829078,Aria
0.0047630956,0.039318223,Aria
0.003284854,0.042866614,Aria
0.0028001342,0.034360267,Aria
0.003984535,0.03711845,Aria
0.0073058954,0.04541214,Aria
0.006151008,0.035710797,Aria
0.0013217352,0.024999766,Aria
0.0056931376,0.0399384,Aria
0.0019129353,0.02766991,Aria
0.0071816496,0.045595743,Aria
0.003863974,0.030985668,Aria
0.0075111478,0.048871607,Aria
0.0032831924,0.04283397,Aria
0.009705961,0.06237107,Aria
0.0048149126,0.04126854,Aria
0.0034958646,0.03829174,Aria
0.0040447814,0.03346729,Aria
0.002282865,0.033065703,Aria
0.046749286,0.15332462,Aria
0.0015254733,0.024294756,Aria
0.0043252744,0.04107954,Aria
0.0015964482,0.024053514,Aria
0.0015983835,0.028941173,Aria
0.00074592914,0.020736797,Aria
0.005603269,0.03490527,Aria
0.028139196,0.07359904,Aria
0.0035573526,0.031271886,Aria
0.0047131917,0.032968227,Aria
0.017698975,0.071274705,Aria
0.021141151,0.08223652,Aria
0.0045861225,0.03599521,Aria
0.005165461,0.051905792,Aria
0.001861787,0.023291152,Aria
0.0021845347,0.028791726,Aria
0.00824476,0.044287708,Aria
0.011560273,0.050172597,Aria
0.007965991,0.05172194,Aria
0.006065011,0.055116367,Aria
0.0029448553,0.026841253,Aria
0.0043783537,0.027320294,Aria
0.0032831924,0.04283397,Aria
0.014849273,0.06373935,Aria
0.0028701324,0.036173467,Aria
0.0031610334,0.03724669,Aria
0.011426193,0.057347685,Aria
0.0043015974,0.037439957,Aria
0.008351714,0.053021587,Aria
0.0021936207,0.025453446,Aria
0.0040879585,0.03258441,Aria
0.13997838,0.2047145,Aria
0.0019463,0.024549715,Aria
0.008531723,0.04560885,Aria
0.004733892,0.037608515,Aria
0.023924405,0.112115555,Aria
0.0037020692,0.03051325,Aria
0.006332671,0.034340627,Aria
0.005536618,0.032174584,Aria
0.005163763,0.051874522,Aria
0.0030265567,0.038690116,Aria
0.030229928,0.075225085,Aria
0.001963913,0.025773304,Aria
0.0035250457,0.038575247,Aria
0.008990653,0.049670205,Aria
0.004013567,0.034267727,Aria
0.013401199,0.046374384,Aria
0.0053689242,0.04104097,Aria
0.011463415,0.059219033,Aria
0.0099687,0.0528456,Aria
0.0021783758,0.030337648,Aria
0.007859574,0.05448019,Aria
0.0077524465,0.05909379,Aria
0.032047763,0.077150516,Aria
0.002834066,0.034903448,Aria
0.0010793163,0.02432736,Aria
0.0026850386,0.024198461,Aria
0.000781174,0.01921352,Aria
0.00420707,0.039963137,Aria
0.0016770604,0.026945537,Aria
0.005352682,0.037031263,Aria
0.016835622,0.074835636,Aria
0.006798842,0.052282393,Aria
0.0054440615,0.04347601,Aria
0.006921724,0.041937716,Aria
0.013491269,0.04993374,Aria
0.004213472,0.0380055,Aria
0.018251063,0.058012493,Aria
0.0017270003,0.026393482,Aria
0.0029305362,0.027951969,Aria
0.021246804,0.050556965,Aria
0.005150962,0.037478175,Aria
0.0048316997,0.03792249,Aria
0.0015878057,0.024739899,Aria
0.0018482223,0.026783451,Aria
0.0024816399,0.02983522,Aria
0.028845754,0.07404962,Aria
0.0027059396,0.03220638,Aria
0.005861576,0.039800096,Aria
0.00235405,0.023260586,Aria
0.0017968676,0.028987395,Aria
0.007076702,0.044382382,Aria
0.009440529,0.059688717,Aria
0.0070783417,0.056611054,Aria
0.005465264,0.050583526,Aria
0.0025215598,0.03264077,Aria
0.0062940973,0.03527482,Aria
0.0046712058,0.047601018,Aria
0.005354082,0.038880076,Aria
0.0022747093,0.023035498,Aria
0.0048528034,0.043842386,Aria
0.014702429,0.067630254,Aria
0.003987706,0.033834375,Aria
0.0029258204,0.029197522,Aria
0.0012552715,0.025581563,Aria
